term,definition
决策边界,模型 在 二元分类 或 多类别分类问题 中学习到的 类别 之间的分隔符。例如，在以下表示某个二元分类问题的图片中，决策边界是橙色类别和蓝色类别之间的分界线：
决策森林,"一种由多个 决策树 创建的模型。决策森林通过汇总其决策树的预测结果来进行预测。常见的决策森林类型包括 随机森林 和 梯度提升树 。

如需了解详情，请参阅决策森林课程中的 决策森林 部分。"
决策阈值,与 分类阈值 的含义相同。
决策树,一种监督式学习模型，由一组按层次结构组织的 条件 和 叶 组成。例如，以下是一个决策树：
解码器,"一般来说，任何将经过处理的密集型内部表示形式转换为更原始的稀疏型外部表示形式的机器学习系统。

解码器通常是较大模型的组成部分，并且经常与 编码器 配对使用。

在 序列到序列任务 中，解码器从编码器生成的内部状态开始预测下一个序列。

如需了解 Transformer 架构中解码器的定义，请参阅 Transformer 。

如需了解详情，请参阅机器学习速成课程中的 大型语言模型 。"
深度模型,"包含多个 隐藏层 的 神经网络 。

深度模型也称为 深度神经网络 。

与 宽度模型 相对。"
一种非常流行的深度神经网络,与 深度模型 的含义相同。
深度 Q 网络 (DQN),"在 Q-learning 中，一个深度 神经网络 会预测 Q 函数 。

评判家 是深度 Q 网络的同义词。"
人口统计均等,"一种 公平性指标 ，如果模型分类结果不依赖于给定的 敏感属性 ，则满足该指标。

例如，如果小人国人和巨人国人都申请了 Glubbdubdrib 大学，那么如果录取的小人国人百分比与录取的大人国人百分比相同，则实现了人口统计学上的平等，无论一个群体是否比另一个群体平均而言更符合条件。

与 均衡赔率 和 机会均等 形成对比，后者允许分类结果总体上取决于敏感属性，但不允许某些指定 标准答案 标签的分类结果取决于敏感属性。如需查看直观图表，了解在优化人口统计学均等性时需要做出的权衡，请参阅 “通过更智能的机器学习避免歧视” 。

如需了解详情，请参阅机器学习速成课程中的 公平性：人口统计学奇偶性 。"
降噪,"一种常见的 自监督式学习 方法，其中：

噪声 是人为添加到数据集中的。 模型 会尝试移除噪声。

去噪功能支持从 无标签示例 中学习。
原始 数据集 用作目标或 标签 ，而含噪数据用作输入。

部分 掩码语言模型 使用以下去噪方式：

通过屏蔽部分令牌，人为地向无标签句子添加噪声。 模型会尝试预测原始 token。"
密集特征,"一种 特征 ，其中大多数或所有值都不为零，通常是浮点值的 Tensor 。例如，以下 10 元素张量是密集张量，因为其中 9 个值不为零：

与 稀疏特征 相对。"
密集层,与 全连接层 的含义相同。
深度,"神经网络 中以下各项的总和：

隐藏层 的数量 输出层 的数量（通常为 1） 任何 嵌入层 的数量

例如，具有 5 个隐藏层和 1 个输出层的神经网络的深度为 6。

请注意， 输入层 不会影响深度。"
深度可分离卷积神经网络 (sepCNN),"一种基于 Inception 的 卷积神经网络 架构，但其中的 Inception 模块被替换为深度可分离卷积。也称为 Xception。

深度可分离卷积（也简称为可分离卷积）将标准 3D 卷积分解为两个单独的卷积运算，这两个运算在计算上更高效：首先是深度卷积，深度为 1（n ✕ n ✕ 1）；其次是点状卷积，长度和宽度为 1（1 ✕ 1 ✕ n）。

如需了解详情，请参阅 Xception：使用深度可分离卷积的深度学习 。"
派生标签,与 代理标签 的含义相同。
设备,"一个多含义术语，具有以下两种可能的定义：

一类可运行 TensorFlow 会话的硬件，包括 CPU、GPU 和 TPU 。 在 加速器芯片 （GPU 或 TPU）上训练机器学习模型时，实际操作 张量 和 嵌入 的系统部分。设备依靠加速器芯片运行。相比之下， 主机 通常在 CPU 上运行。"
差分隐私,"在机器学习中，一种匿名化方法，用于保护模型 训练集 中包含的任何敏感数据（例如个人身份信息）免遭泄露。这种方法可确保 模型 不会学习或记住有关特定个人的太多信息。为此，我们在模型训练期间对数据进行抽样并添加噪声，以模糊单个数据点，从而降低泄露敏感训练数据的风险。

差分隐私也用于机器学习之外的领域。例如，数据科学家有时会使用差分隐私来保护个人隐私，同时计算不同人口统计特征的产品使用情况统计信息。"
降维,减少用于表示特征向量中特定特征的维度的数量，通常通过转换为 嵌入向量 来实现此操作。
维度,"一个具有多重含义的术语，包括以下含义：

Tensor 中的坐标级别数量。例如： 标量有零个维度，如 [""Hello""] 。 向量有一个维度，例如 [3, 5, 7, 11] 。 矩阵有两个维度，例如 [[2, 4, 18], [5, 7, 14]] 。
您可以使用一个坐标唯一指定一维向量中的特定单元；您需要使用两个坐标唯一指定二维矩阵中的特定单元。 特征向量 中的条目数。 嵌入层 中的元素数。"
直接提示,与 零样本提示 的含义相同。
离散特征,"一种 特征 ，包含有限个可能值。例如，值可能仅为 animal 、 vegetable 或 mineral 的特征是离散（或分类）特征。

与 连续特征 相对。"
判别模型,"一种通过一个或多个 特征 组成的集合预测 标签 的 模型 。更正式地讲，判别模型会根据特征和 权重 定义输出的条件概率；即：

例如，如果一个模型要通过特征和权重预测某封电子邮件是否是垃圾邮件，那么该模型为判别模型。

绝大多数监督式学习模型（包括分类模型和回归模型）都是判别模型。

与 生成模型 相对。"
判别器,"一种确定 样本 是否真实的系统。

或者， 生成对抗网络 中的子系统，用于确定 生成器 创建的样本是真实的还是虚假的。

如需了解详情，请参阅 GAN 课程中的 判别器 。"
不同影响,"做出有关人员的决策，但这些决策对不同的人口子群组的影响不成比例。这通常是指算法决策过程对某些子群体的伤害或益处大于其他子群体的情况。

例如，假设某个算法用于确定小人国居民是否符合微型住宅贷款的申请条件，如果小人国居民的邮寄地址包含某个邮政编码，该算法更有可能将他们归类为“不符合条件”。如果大端序小人国居民比小端序小人国居民更可能拥有此邮政编码的邮寄地址，那么此算法可能会导致差异性影响。

与 差别对待 形成对比，后者侧重于因将子群组特征作为算法决策过程的显式输入而导致的不公平现象。"
差别待遇,"在算法决策过程中纳入受试者的 敏感属性 ，从而以不同的方式对待不同的人群子群组。

例如，假设有一种算法，可根据小人国居民在贷款申请中提供的数据来确定他们是否符合微型住宅贷款的条件。如果算法使用 Lilliputian 的派别（大端或小端）作为输入，则会在该维度上实施差别对待。

与 差异化影响 形成对比，后者侧重于算法决策对子群体的社会影响方面的差异，无论这些子群体是否是模型的输入。"
蒸馏,"将一个 模型 （称为 教师 ）的大小缩减为较小的模型（称为 学生 ），并尽可能忠实地模拟原始模型的预测结果。知识蒸馏之所以有用，是因为较小的模型（学生）与较大的模型（教师）相比，具有以下两个主要优势：

推理时间更短 减少了内存和能耗用量

不过，学生的预测结果通常不如教师的预测结果。

蒸馏训练学生模型，以最大限度地减少基于学生模型和教师模型预测输出之间差异的 损失函数 。

比较和对比蒸馏与以下术语：

微调 基于提示的学习

如需了解详情，请参阅机器学习速成课程中的 LLM：微调、蒸馏和提示工程 。"
分布式训练,"给定 特征 或 标签 的不同值的频次和范围。分布可反映特定值的可能性。

下图显示了两种不同分布的直方图：

左侧：财富与拥有相应财富的人数之间的幂律分布。 右侧是身高与拥有该身高的人数之间的正态分布。

了解每个特征和标签的分布情况有助于您确定如何 归一化 值和检测 离群值 。

分布外 是指未出现在数据集中的值或非常罕见的值。例如，对于由猫图片组成的数据集，土星的图片会被视为分布外数据。"
分裂式层次聚类,请参阅 层次聚类 。
降采样,"一个多含义术语，可以理解为下列两种含义之一：

减少 特征 中的信息量，以便更高效地 训练 模型。例如，在训练图像识别模型之前，将高分辨率图像降采样为分辨率较低的格式。 使用占比异常低、得到过度代表的 类别 样本训练模型，以改进未得到充分代表的类别的模型训练效果。例如，在 类别不平衡的数据集 中，模型往往会学习到大量关于 多数类 的信息，但关于 少数类 的信息却不够。降采样有助于平衡多数类和少数类的训练量。

如需了解详情，请参阅机器学习速成课程中的 数据集：不平衡的数据集 。"
DQN,深度 Q 网络 的缩写。
dropout 正规化,一种 正则化 形式，在训练 神经网络 时非常有用。Dropout 正规化的运作机制是，在一个梯度步中移除从神经网络层中随机选择的固定数量的单元。丢弃的单元越多，正则化就越强。这类似于训练神经网络以模拟较小网络的指数级规模 集成 。如需完整的详细信息，请参阅 Dropout: A Simple Way to Prevent Neural Networks from Overfitting （《Dropout：一种防止神经网络过拟合的简单方法》）。
动态,"经常或持续做的事情。
在机器学习中，“动态”和“在线”是同义词。 以下是机器学习中 动态 和 在线 的常见用途：

动态模型 （或 在线模型 ）是一种会频繁或持续重新训练的模型。 动态训练 （或 在线训练 ）是指频繁或持续的训练过程。 动态推理 （或 在线推理 ）是指根据需要生成预测的过程。"
动态模型,"一种经常（甚至持续）重新训练的 模型 。动态模型是“终身学习者”，会不断适应不断变化的数据。动态模型也称为 在线模型 。

与 静态模型 相对。"
即刻执行,一种 TensorFlow 编程环境， 操作 可在其中立即运行。相比之下，在 图执行 中调用的操作在得到明确评估之前不会运行。即刻执行是一种 命令式接口 ，就像大多数编程语言中的代码一样。相比图执行程序，调试即刻执行程序通常要容易得多。
早停法,"一种 正则化 方法，涉及在训练损失停止下降 之前 结束 训练 。在早停法中，当 验证数据集 的损失开始增加时（即 泛化 性能变差时），您会故意停止训练模型。

与 提前退出 相对。"
推土机距离 (EMD),"一种用于衡量两种 分布 相对相似度的指标。
推土机距离越小，分布越相似。"
修改距离,"衡量两个文本字符串彼此之间的相似程度。
在机器学习中，编辑距离非常有用，原因如下：

编辑距离很容易计算。 编辑距离可以比较已知彼此相似的两个字符串。 编辑距离可以确定不同字符串与给定字符串的相似程度。

编辑距离有多种定义，每种定义都使用不同的字符串操作。如需查看示例，请参阅 Levenshtein 距离 。"
Einsum 表示法,"一种用于描述如何组合两个 张量 的有效表示法。张量组合方式为：将一个张量的元素与另一个张量的元素相乘，然后将乘积相加。
Einsum 表示法使用符号来标识每个张量的轴，并重新排列这些相同的符号来指定新结果张量的形状。

NumPy 提供了一个通用的 Einsum 实现。"
嵌入层,"一种特殊的 隐藏层 ，可针对高维 分类 特征进行训练，以逐步学习低维嵌入向量。与仅基于高维分类特征进行训练相比，嵌入层可让神经网络的训练效率大幅提高。

例如，地球目前支持约 73,000 种树。假设树种是模型中的一个 特征 ，那么模型的输入层将包含一个长度为 73,000 的 独热向量 。
例如， baobab 可能会以如下方式表示：

一个包含 73,000 个元素的数组非常长。如果您不向模型添加嵌入层，则由于要乘以 72,999 个零，训练将非常耗时。假设您选择的嵌入层包含 12 个维度。因此，嵌入层将逐渐学习每种树木的新嵌入向量。

在某些情况下， 哈希处理 是嵌入层的合理替代方案。

如需了解详情，请参阅机器学习速成课程中的 嵌入 。"
嵌入空间,"更高维度的向量空间中的特征所映射到的 d 维向量空间。嵌入空间经过训练，可捕获对预期应用有意义的结构。

两个嵌入的点积 可用于衡量两者之间的相似性。"
嵌入向量,"从 任何 隐藏层 提取的浮点数数组，用于描述该隐藏层的输入。
通常，嵌入向量是在嵌入层中训练的浮点数数组。例如，假设一个嵌入层必须学习地球上 73,000 种树木的每种树木的嵌入向量。以下数组可能就是猴面包树的嵌入向量：

嵌入向量不是一堆随机数字。嵌入层通过训练来确定这些值，类似于神经网络在训练期间学习其他权重的方式。数组的每个元素都是树种在某种特征方面的评级。哪个元素表示哪种树木的特征？人类很难确定这一点。

嵌入向量在数学上令人称奇之处在于，相似的内容具有相似的浮点数集。例如，相似的树种比不相似的树种具有更相似的浮点数集。红杉和巨杉是相关的树种，因此它们将具有比红杉和椰子树更相似的一组浮点数。即使您使用相同的输入重新训练模型，嵌入向量中的数字也会在每次重新训练模型时发生变化。"
经验累积分布函数（eCDF 或 EDF）,基于真实数据集的 实证测量结果的 累积分布函数 。 沿 x 轴上任意点的函数值是数据集中小于或等于指定值的观测值的比例。
经验风险最小化 (ERM),选择可最大限度减少训练集损失的函数。与 结构风险最小化 相对。
编码器,"一般来说，任何将原始、稀疏或外部表示形式转换为经过更多处理、更密集或更内部的表示形式的机器学习系统。

编码器通常是较大模型的组成部分，并且经常与 解码器 配对使用。有些 Transformer 会将编码器与解码器配对，不过其他 Transformer 只使用编码器或只使用解码器。

有些系统使用编码器的输出作为分类或回归网络的输入。

在 序列到序列任务 中，编码器会接收输入序列并返回内部状态（一个向量）。然后， 解码器 使用该内部状态来预测下一个序列。

如需了解 Transformer 架构中编码器的定义，请参阅 Transformer 。

如需了解详情，请参阅机器学习速成课程中的 大语言模型：什么是大语言模型 。"
endpoints,可通过网络寻址的位置（通常为网址），服务可通过该位置访问。
集成学习,"一组独立训练的 模型 ，其预测结果经过平均处理或汇总。在许多情况下，集成模型比单个模型能做出更好的预测。例如， 随机森林 是由多个 决策树 构建的集成学习模型。请注意，并非所有 决策森林 都是集成学习模型。

如需了解详情，请参阅机器学习速成课程中的 随机森林 。"
熵,"在 信息论 中，用于描述概率分布的不可预测程度。或者，熵也可以定义为每个 示例 包含的信息量。当随机变量的所有值具有相同的可能性时，分布的熵最大。

具有两个可能值“0”和“1”（例如， 二元分类 问题中的标签）的集合的熵具有以下公式：

H = -p log p - q log q = -p log p - (1-p) * log (1-p)

其中：

H 是熵。 p 是“1”示例的比例。 q 是“0”示例的比例。请注意，q = (1 - p) log 通常为 log 2 。在这种情况下，熵单位为比特。

例如，假设情况如下：

100 个示例包含值“1” 300 个示例包含值“0”

因此，熵值为：

p = 0.25 q = 0.75 H = (-0.25)log 2 (0.25) - (0.75)log 2 (0.75) =
      每个示例 0.81 位

如果某个集合完全平衡（例如，包含 200 个“0”和 200 个“1”），则每个示例的熵为 1.0 位。随着集合变得越来越 不平衡 ，其熵会趋向于 0.0。

在 决策树 中，熵有助于制定 信息增益 ，从而帮助 分裂器 在分类决策树的增长过程中选择 条件 。

比较熵与：

基尼杂质 交叉熵 损失函数

熵通常称为 香农熵 。

如需了解详情，请参阅决策森林课程中的 使用数值特征进行二元分类的精确分裂器 。"
环境,在强化学习中，包含 智能体 并允许智能体观察世界 状态 的世界。例如，所表示的世界可以是国际象棋等游戏，也可以是迷宫等现实世界。当智能体对环境应用某项 操作 时，环境会在状态之间转换。
分集,在强化学习中， 智能体 为学习 环境 而进行的每次重复尝试。
周期数,"在训练时，对整个 训练集 的一次完整遍历，不会漏掉任何一个 样本 。

一个周期表示 N / 批次大小 次训练 迭代 ，其中 N 是样本总数。

例如，假设存在以下情况：

该数据集包含 1,000 个示例。 批次大小为 50 个样本。

因此，一个周期需要 20 次迭代：

如需了解详情，请参阅机器学习速成课程中的 线性回归：超参数 。"
epsilon-greedy 策略,"在强化学习中，一种 政策 ，它以 epsilon 概率遵循 随机政策 ，否则遵循 贪婪政策 。例如，如果 epsilon 为 0.9，则政策有 90% 的时间遵循随机政策，有 10% 的时间遵循贪婪政策。

在连续的剧集中，算法会降低 epsilon 的值，以便从遵循随机政策转为遵循贪婪政策。通过调整政策，智能体首先随机探索环境，然后贪婪地利用随机探索的结果。"
机会均等,"一种 公平性指标 ，用于评估模型是否能针对 敏感属性 的所有值同样准确地预测出理想结果。换句话说，如果模型的理想结果是 正类别 ，那么目标就是让所有组的 真正例率 保持一致。

机会平等与 赔率均衡 有关，后者要求所有群组的 真正例率 和 假正例率 都相同。

假设 Glubbdubdrib 大学允许小人国人和巨人国人参加严格的数学课程。Lilliputians 的中学提供完善的数学课程，绝大多数学生都符合大学课程的入学条件。Brobdingnagians 的中学根本不提供数学课程，因此，他们的学生中只有极少数人符合条件。如果合格的学生无论来自小人国还是巨人国，被录取的机会都相同，那么对于“录取”这一首选标签，机会均等条件就满足了。

例如，假设有 100 名小人国人和 100 名巨人国人申请了 Glubbdubdrib 大学，录取决定如下：

表 1. Lilliputian 申请者（90% 符合条件）

表 2. Brobdingnagian 申请者（10% 符合条件）：

上述示例满足了合格学生在入学方面的机会平等，因为合格的利立浦特人和布罗卜丁奈格人都只有 50% 的入学机会。

虽然满足了机会均等，但未满足以下两个公平性指标：

人口统计均等 ：Lilliputians 和 Brobdingnagians 的大学入学率不同；48% 的 Lilliputians 学生被录取，但只有 14% 的 Brobdingnagian 学生被录取。 机会均等 ：虽然符合条件的小人国学生和巨人国学生被录取的几率相同，但不符合条件的小人国学生和巨人国学生被拒绝的几率相同这一额外限制条件并未得到满足。不合格的 Lilliputian 的拒绝率为 70%，而不合格的 Brobdingnagian 的拒绝率为 90%。

如需了解详情，请参阅机器学习速成课程中的 公平性：机会均等 。"
等几率,"一种公平性指标，用于评估模型是否能针对 敏感属性 的所有值，同样准确地预测 正类别 和 负类别 的结果，而不仅仅是其中一个类别。换句话说，所有组的 真正例率 和 假负例率 都应相同。

均衡赔率与 机会均等 有关，后者仅关注单个类别（正类别或负类别）的错误率。

例如，假设 Glubbdubdrib 大学允许小人国人和巨人国人同时参加一个严格的数学课程。Lilliputians 的中学提供全面的数学课程，绝大多数学生都符合大学课程的入学条件。Brobdingnagians 的中学根本不提供数学课程，因此，他们的学生中只有极少数人符合条件。只要满足以下条件，即可实现均衡赔率：无论申请者是小人国人还是巨人国人，如果他们符合条件，被该计划录取的可能性都相同；如果他们不符合条件，被拒绝的可能性也相同。

假设有 100 名小人国人和 100 名巨人国人申请了 Glubbdubdrib 大学，录取决定如下：

表 3. Lilliputian 申请者（90% 符合条件）

表 4. Brobdingnagian 申请者（10% 符合条件）：

由于符合条件的 Lilliputian 学生和 Brobdingnagian 学生被录取的概率均为 50%，而不符合条件的 Lilliputian 学生和 Brobdingnagian 学生被拒绝的概率均为 80%，因此满足了均衡赔率条件。

“监督学习中的机会平等” 中对均衡赔率的正式定义如下：“如果预测变量 Ŷ 和受保护属性 A 在以 Y 为条件的情况下相互独立，则 Ŷ 满足关于受保护属性 A 和结果 Y 的均衡赔率。”"
Estimator,已弃用的 TensorFlow API。使用 tf.keras 而不是 Estimator。
evals,"主要用作 LLM 评估 的缩写。
广义而言， evals 是任何形式的 评估 的缩写。"
评估,"衡量模型质量或比较不同模型的过程。

若要评估 监督式机器学习 模型，您通常需要根据 验证集 和 测试集 来判断模型的效果。 评估 LLM 通常涉及更广泛的质量和安全性评估。"
完全匹配,"一种非此即彼的指标，即模型的输出要么与 标准答案 或 参考文本 完全一致，要么完全不一致。例如，如果标准答案是 orange ，则只有模型输出 orange 满足完全匹配条件。

完全一致性还可以评估输出为序列（已排名商品列表）的模型。一般来说，完全匹配要求生成的排名列表与实际情况完全一致；也就是说，两个列表中的每个项目都必须按相同的顺序排列。不过，如果评估依据包含 多个 正确序列，那么完全匹配只需要模型输出与 一个 正确序列匹配即可。"
示例,"一行 特征 的值，可能还包含一个 标签 。 监督式学习 中的示例大致分为两类：

有标签样本 包含一个或多个特征和一个标签。在训练期间会使用有标签的示例。 无标签样本 包含一个或多个特征，但不包含标签。在推理期间会使用无标签样本。

例如，假设您正在训练一个模型，以确定天气条件对学生考试成绩的影响。以下是三个带标签的示例：

以下是三个未标记的示例：

数据集 的行通常是示例的原始来源。
也就是说，一个示例通常由数据集中的一部分列组成。此外，示例中的特征还可以包括 合成特征 ，例如 特征交叉 。

如需了解详情，请参阅“机器学习简介”课程中的 监督式学习 。"
经验回放,在强化学习中，一种用于减少训练数据中时间相关性的 DQN 技术。 代理 将状态转换存储在 回放缓冲区 中，然后从回放缓冲区中抽样转换以创建训练数据。
实验者偏差,请参阅 确认偏差 。
梯度爆炸问题,"深度神经网络 （尤其是 循环神经网络 ）中 梯度 突然变得非常陡峭（高）的趋势。陡峭的梯度通常会导致深度神经网络中每个 节点 的 权重 发生非常大的更新。

如果模型出现梯度爆炸问题，则很难或无法进行训练。 梯度裁剪 可以缓解此问题。

与 梯度消失问题 相对。"
F1,一种“汇总” 二元分类 指标，同时依赖于 精确率 和 召回率 。公式如下：
真实性,"在机器学习领域中，一种描述模型（其输出基于现实）的属性。事实性是一个概念，而不是一个指标。
例如，假设您向 大型语言模型 发送以下 提示 ：

如果模型侧重于事实性，则会回答：

人们很容易认为所有模型都应基于事实。不过，某些提示（例如以下提示）应促使生成式 AI 模型优化 创意 ，而不是 事实性 。

这样创作出的五行打油诗不太可能基于现实。

与 事实依据 相对。"
公平性约束,后处理 模型输出。 更改 损失函数 ，以纳入违反 公平性指标 的惩罚。 直接向优化问题添加数学约束。
公平性指标,"可衡量的“公平性”的数学定义。
一些常用的公平性指标包括：

赔率均等化 预测对等性 反事实公平性 人口统计均等

许多公平性指标是互斥的；请参阅 公平性指标互不相容 。"
假负例 (FN),被模型错误地预测为 负类别 的样本。例如，模型预测某封电子邮件 不是垃圾邮件 （负类别），但该电子邮件 实际上是垃圾邮件 。
假负例率,"模型错误地将实际正例预测为负例的比例。以下公式用于计算假负率：

如需了解详情，请参阅机器学习速成课程中的 阈值和混淆矩阵 。"
假正例 (FP),"被模型错误地预测为 正类别 的样本。例如，模型预测某封电子邮件是 垃圾邮件 （正类别），但该电子邮件 实际上不是垃圾邮件 。

如需了解详情，请参阅机器学习速成课程中的 阈值和混淆矩阵 。"
假正例率 (FPR),"模型错误地将实际负例预测为正例的比例。以下公式用于计算假正率：

假正例率是 ROC 曲线 的 x 轴。

如需了解详情，请参阅机器学习速成课程中的 分类：ROC 和 AUC 。"
快速衰减,一种用于提升 LLM 性能的 训练 技术。快速衰减是指在训练期间快速降低 学习速率 。此策略有助于防止模型对训练数据出现 过拟合 ，并提高 泛化 能力。
功能,"机器学习模型的输入变量。一个 示例 包含一个或多个特征。例如，假设您正在训练一个模型，以确定天气条件对学生考试成绩的影响。下表显示了三个示例，每个示例都包含三个特征和一个标签：

与 标签 相对。

如需了解详情，请参阅“机器学习简介”课程中的 监督式学习 。"
特征组合,"通过“组合” 分类 或 分桶 特征形成的 合成特征 。

例如，假设有一个“情绪预测”模型，它使用以下四个区间之一来表示温度：

freezing chilly temperate warm

并以以下三个区间之一表示风速：

still light windy

如果不进行特征交叉，线性模型会针对上述七个不同的分桶分别进行独立训练。因此，模型会基于 freezing （例如）进行训练，而不会基于 windy （例如）进行训练。

或者，您也可以创建温度和风速的特征交叉。此合成特征将具有以下 12 个可能的值：

freezing-still freezing-light freezing-windy chilly-still chilly-light chilly-windy temperate-still temperate-light temperate-windy warm-still warm-light warm-windy

借助特征交叉，模型可以学习 freezing-windy 天和 freezing-still 天之间的情绪差异。

如果您根据两个各自具有许多不同分桶的特征创建合成特征，则生成的特征交叉将具有大量可能的组合。例如，如果一个特征有 1,000 个分桶，另一个特征有 2,000 个分桶，那么生成的特征交叉就有 2,000,000 个分桶。

从形式上讲，交叉是 笛卡尔积 。

特征交叉主要用于线性模型，很少用于神经网络。

如需了解详情，请参阅机器学习速成课程中的 类别数据：特征交叉 。"
特征工程,"一种流程，包括以下步骤：

确定哪些 特征 可能在训练模型方面非常有用。 将数据集中的原始数据转换为这些特征的高效版本。

例如，您可能会认为 temperature 是一项有用的功能。然后，您可以尝试使用 分桶 来优化模型从不同 temperature 范围中学习的内容。

特征工程有时称为 特征提取 或 特征化 。

如需了解详情，请参阅机器学习速成课程中的 数值数据：模型如何使用特征向量提取数据 。"
特征提取,"一个多含义术语，具有下列两种含义之一：

检索由 无监督 模型或预训练模型计算的中间特征表示（例如， 神经网络 中的 隐藏层 值），以用作其他模型的输入。 与 特征工程 的含义相同。"
特征重要性,与 变量重要性 的含义相同。
功能集,机器学习 模型 训练时采用的一组 特征 。例如，用于预测房价的模型的简单特征集可能包含邮政编码、房产面积和房产状况。
特征规范,"介绍从 tf.Example 协议缓冲区提取 特征 数据所需的信息。由于 tf.Example 协议缓冲区只是一个数据容器，因此您必须指定以下内容：

要提取的数据（即特征的键） 数据类型（例如，float 或 int） 长度（固定或可变）"
特征向量,"构成 示例 的 特征 值数组。特征向量在 训练 和 推理 期间作为输入。例如，具有两个离散特征的模型的特征向量可能如下所示：

每个示例都为特征向量提供不同的值，因此下一个示例的特征向量可能如下所示：

特征工程 决定了如何在特征向量中表示特征。例如，具有 5 个可能值的二元分类特征可以使用 独热编码 来表示。在这种情况下，特定示例的特征向量部分将包含四个零和一个位于第三位置的 1.0，如下所示：

再举一个例子，假设您的模型包含三个特征：

采用独热编码方式表示的具有 五个 可能值的二元分类特征；例如： [0.0, 1.0, 0.0, 0.0, 0.0] 另一个具有 三个 可能值的二元分类特征，以独热编码表示；例如： [0.0, 0.0, 1.0] 浮点特征；例如： 8.3 。

在这种情况下，每个示例的特征向量将由 9 个值表示。根据上一个列表中的示例值，特征向量将为：

如需了解详情，请参阅机器学习速成课程中的 数值数据：模型如何使用特征向量提取数据 。"
特征化,"从文档或视频等输入源中提取 特征 并将这些特征映射到 特征向量 的过程。

一些机器学习专家将“featurization”用作 特征工程 或 特征提取 的同义词。"
联合学习,"是一种分布式机器学习方法，使用驻留在智能手机等设备上的分散 样本 来 训练 机器学习 模型 。在联邦学习中，一部分设备会从中央协调服务器下载当前模型。设备会使用存储在设备上的示例来改进模型。然后，设备会将模型改进（但不会上传训练示例）上传到协调服务器，在服务器上，这些改进会与其他更新聚合，从而生成改进的全局模型。聚合完成后，不再需要设备计算的模型更新，可以将其舍弃。

由于训练示例永远不会上传，因此联邦学习遵循了聚焦数据收集和数据最小化的隐私原则。

如需了解详情，请参阅 联邦学习漫画 （没错，就是漫画）。"
反馈环,"在机器学习中，一种模型预测会影响同一模型或其他模型的训练数据的情况。例如，推荐电影的模型会影响用户看到的电影，进而影响后续的电影推荐模型。

如需了解详情，请参阅机器学习速成课程中的 生产环境中的机器学习系统：需要提出的问题 。"
前馈神经网络 (FFN),没有循环或递归连接的神经网络。例如，传统 深度神经网络 属于前馈神经网络。与循环的 循环神经网络 相对。
少量样本学习,"一种机器学习方法，通常用于对象分类，旨在仅通过少量训练示例训练出有效的 分类模型 。

另请参阅 单样本学习 和 零样本学习 。"
少样本提示,"包含多个（“少量”）示例的 提示 ，用于演示 大语言模型 应如何回答。例如，以下冗长的问题包含两个示例，向大型语言模型展示了如何回答查询。

与 零样本提示 和 单样本提示 相比，少样本提示通常会产生更理想的结果。不过，少样本提示需要更长的提示。

少样本提示是一种应用于 基于提示的学习 的 少量样本学习 。

如需了解详情，请参阅机器学习速成课程中的 提示工程 。"
小提琴,"一个以 Python 为先的 配置 库，用于设置函数和类的值，而无需侵入式代码或基础设施。对于 Pax （以及其他机器学习代码库），这些函数和类表示 模型 和 训练 超参数 。

Fiddle 假设机器学习代码库通常分为以下几部分：

库代码，用于定义层和优化器。 数据集“粘合”代码，用于调用库并将所有内容连接在一起。

Fiddle 以未评估且可变的形式捕获粘合代码的调用结构。"
微调,"对 预训练模型 执行的第二次特定任务训练，以针对特定应用场景优化其参数。例如，某些 大型语言模型 的完整训练序列如下所示：

预训练 ：在庞大的 通用 数据集（例如所有英文版维基百科页面）上训练大语言模型。 微调 ：训练预训练模型以执行 特定 任务，例如回答医疗查询。微调通常涉及数百或数千个专注于特定任务的示例。

再举一个例子，大型图片模型的完整训练序列如下所示：

预训练 ：在庞大的 通用 图片数据集（例如 Wikimedia Commons 中的所有图片）上训练大型图片模型。 微调 ：训练预训练模型以执行 特定 任务，例如生成虎鲸的图片。

微调可能需要采用以下策略的任意组合：

修改预训练模型的所有现有 参数 。 这有时称为“完全微调”。 仅修改预训练模型的部分现有参数（通常是距离 输出层 最近的层），同时保持其他现有参数不变（通常是距离 输入层 最近的层）。 请参阅 参数高效调优 。 添加更多层，通常是在最接近输出层的现有层之上添加。

微调是一种 迁移学习 。因此，微调可能会使用与训练预训练模型时所用的损失函数或模型类型不同的损失函数或模型类型。例如，您可以对预训练的大型图像模型进行微调，以生成一个回归模型，该模型可返回输入图像中鸟的数量。

比较和对比微调与以下术语：

蒸馏 基于提示的学习

如需了解详情，请参阅机器学习速成课程中的 微调 。"
Flash 模型,一系列相对较小的 Gemini 模型，经过优化，可实现快速响应和低 延迟 。Flash 模型专为需要快速响应和高吞吐量的各种应用而设计。
Flax,一个基于 JAX 构建的用于深度学习的高性能开源 库 。Flax 提供用于 训练 神经网络 的函数，以及用于评估其性能的方法。
Flaxformer,一个基于 Flax 构建的开源 Transformer 库 ，主要用于自然语言处理和多模态研究。
忘记门控,长短期记忆 细胞中用于调节信息流经细胞的部分。遗忘门通过决定从细胞状态中舍弃哪些信息来保持上下文。
